Name,Logic Elements,Registers,Max Clock Freq,Synthesis Time,DSP Blocks,Clock Cycles,Correct
non_restoring8,57,47                                          ;,181.52,0:01:42,0,9,1
,,,,,,,
non_restoring9,62,53                                          ;,170.5,0:01:45,0,10,1
,,,,,,,
non_restoring10,67,57                                          ;,165.29,0:01:43,0,11,1
,,,,,,,
non_restoring11,72,61                                          ;,168.35,0:01:47,0,12,1
,,,,,,,
non_restoring12,77,70                                          ;,160.33,0:01:50,0,13,1
,,,,,,,
non_restoring13,81,69                                          ;,161.71,0:01:53,0,14,1
,,,,,,,
non_restoring14,85,73                                          ;,153.89,0:01:48,0,15,1
,,,,,,,
non_restoring15,90,76                                          ;,154.66,0:01:51,0,16,1
,,,,,,,
non_restoring16,96,82                                          ;,155.42,0:01:51,0,17,1
,,,,,,,
non_restoring17,100,90                                          ;,143.8,0:01:51,0,18,1
,,,,,,,
non_restoring18,106,90                                          ;,153.92,0:01:51,0,19,1
,,,,,,,
non_restoring19,110,102                                         ;,139.74,0:01:51,0,20,1
,,,,,,,
non_restoring20,116,104                                         ;,145.29,0:01:54,0,21,1
,,,,,,,
non_restoring21,121,110                                         ;,132.73,0:01:55,0,22,1
,,,,,,,
non_restoring22,127,114                                         ;,155.01,0:01:52,0,23,1
,,,,,,,
non_restoring23,131,116                                         ;,142.88,0:01:57,0,24,1
,,,,,,,
non_restoring24,134,123                                         ;,142.23,0:01:52,0,25,1
,,,,,,,
non_restoring25,141,132                                         ;,136.15,0:01:52,0,26,1
,,,,,,,
non_restoring26,145,136                                         ;,137.4,0:01:50,0,27,1
,,,,,,,
non_restoring27,152,134                                         ;,135.74,0:01:57,0,28,1
,,,,,,,
non_restoring28,157,142                                         ;,139.96,0:01:56,0,29,1
,,,,,,,
non_restoring29,161,145                                         ;,128.32,0:01:57,0,30,1
,,,,,,,
non_restoring30,166,147                                         ;,130.28,0:01:54,0,31,1
,,,,,,,
non_restoring31,172,147                                         ;,134.48,0:01:58,0,32,1
,,,,,,,
non_restoring32,166,152                                         ;,181.19,0:01:55,0,33,1
,,,,,,,
non_restoring33,174,155                                         ;,185.87,0:01:57,0,34,0
,,,,,,,
non_restoring34,178,163                                         ;,177.9,0:01:57,0,35,1
,,,,,,,
non_restoring35,182,167                                         ;,169.35,0:01:58,0,36,1
,,,,,,,
non_restoring36,187,167                                         ;,177.3,0:01:59,0,37,1
,,,,,,,
non_restoring37,192,183                                         ;,174.76,0:01:58,0,38,1
,,,,,,,
non_restoring38,197,183                                         ;,158.76,0:01:56,0,39,1
,,,,,,,
non_restoring39,202,189                                         ;,167.14,0:01:58,0,40,1
,,,,,,,
non_restoring40,206,194                                         ;,167.39,0:01:59,0,41,1
,,,,,,,
non_restoring41,211,194                                         ;,182.98,0:02:01,0,42,1
,,,,,,,
non_restoring42,215,202                                         ;,172.29,0:02:02,0,43,1
,,,,,,,
non_restoring43,220,202                                         ;,174.64,0:02:00,0,44,1
,,,,,,,
non_restoring44,224,208                                         ;,174.79,0:02:00,0,45,1
,,,,,,,
non_restoring45,227,209                                         ;,168.89,0:01:54,0,46,1
,,,,,,,
non_restoring46,230,226                                         ;,175.72,0:02:00,0,47,1
,,,,,,,
non_restoring47,236,213                                         ;,170.15,0:02:01,0,48,1
,,,,,,,
non_restoring48,238,220                                         ;,163.43,0:02:02,0,49,1
,,,,,,,
non_restoring49,244,235                                         ;,166.67,0:02:02,0,50,1
,,,,,,,
non_restoring50,247,220                                         ;,171.14,0:02:02,0,51,1
,,,,,,,
non_restoring51,253,228                                         ;,166.61,0:02:04,0,52,1
,,,,,,,
non_restoring52,257,238                                         ;,167.42,0:02:00,0,53,1
,,,,,,,
non_restoring53,261,242                                         ;,159.72,0:02:01,0,54,1
,,,,,,,
non_restoring54,265,244                                         ;,160.13,0:02:01,0,55,1
,,,,,,,
non_restoring55,270,257                                         ;,160.8,0:02:05,0,56,1
,,,,,,,
non_restoring56,273,265                                         ;,163.27,0:02:04,0,57,1
,,,,,,,
non_restoring57,277,266                                         ;,151.98,0:02:05,0,58,1
,,,,,,,
non_restoring58,283,272                                         ;,157.93,0:02:02,0,59,1
,,,,,,,
non_restoring59,287,271                                         ;,155.01,0:02:06,0,60,1
,,,,,,,
non_restoring60,291,280                                         ;,158.68,0:02:04,0,61,1
,,,,,,,
non_restoring61,296,268                                         ;,155.26,0:02:08,0,62,1
,,,,,,,
non_restoring62,297,283                                         ;,142.78,0:02:11,0,63,1
,,,,,,,
non_restoring63,301,294                                         ;,147.21,0:02:08,0,64,1
,,,,,,,
non_restoring64,313,294                                         ;,146.67,0:02:07,0,65,1
,,,,,,,
non_restoring66,324,308                                         ;,149.75,0:02:07,0,67,1
,,,,,,,
non_restoring68,335,322                                         ;,137.04,0:02:08,0,69,1
,,,,,,,
non_restoring70,344,316                                         ;,148.52,0:02:08,0,71,1
,,,,,,,
non_restoring72,354,323                                         ;,147.36,0:02:14,0,73,1
,,,,,,,
non_restoring74,364,347                                         ;,139.63,0:02:08,0,75,1
,,,,,,,
non_restoring76,373,339                                         ;,142.23,0:02:12,0,77,1
,,,,,,,
non_restoring78,384,360                                         ;,140.25,0:02:15,0,79,1
,,,,,,,
non_restoring80,396,367                                         ;,139.45,0:02:13,0,81,1
,,,,,,,
non_restoring82,403,384                                         ;,134.93,0:02:09,0,83,1
,,,,,,,
non_restoring84,413,388                                         ;,130.34,0:02:21,0,85,1
,,,,,,,
non_restoring86,423,388                                         ;,129.95,0:02:11,0,87,1
,,,,,,,
non_restoring88,433,403                                         ;,127.73,0:02:16,0,89,1
,,,,,,,
non_restoring90,441,407                                         ;,133.9,0:02:19,0,91,1
,,,,,,,
non_restoring92,449,417                                         ;,126.65,0:02:17,0,93,1
,,,,,,,
non_restoring94,456,418                                         ;,129.12,0:02:21,0,95,1
,,,,,,,
non_restoring96,463,431                                         ;,127.53,0:02:20,0,97,1
,,,,,,,
non_restoring98,472,452                                         ;,122.99,0:02:19,0,99,1
,,,,,,,
non_restoring100,484,450                                         ;,121.76,0:02:18,0,101,1
,,,,,,,
non_restoring102,490,457                                         ;,121.08,0:02:21,0,103,1
,,,,,,,
non_restoring104,498,469                                         ;,122.19,0:02:35,0,105,1
,,,,,,,
non_restoring106,505,475                                         ;,121.48,0:02:38,0,107,1
,,,,,,,
non_restoring108,514,506                                         ;,110.82,0:03:17,0,109,1
,,,,,,,
non_restoring110,521,510                                         ;,112.66,0:02:28,0,111,1
,,,,,,,
non_restoring112,529,496                                         ;,109.1,0:02:55,0,113,1
,,,,,,,
non_restoring114,535,528                                         ;,111.4,0:02:43,0,115,1
,,,,,,,
non_restoring116,546,521                                         ;,106.84,0:02:52,0,117,1
,,,,,,,
non_restoring118,553,545                                         ;,107.22,0:02:44,0,119,1
,,,,,,,
non_restoring120,557,558                                         ;,106.66,0:02:50,0,121,1
,,,,,,,
non_restoring122,570,546                                         ;,107.63,0:02:57,0,123,1
,,,,,,,
non_restoring124,574,553                                         ;,106.33,0:02:37,0,125,1
,,,,,,,
non_restoring126,579,559                                         ;,108.84,0:02:54,0,127,1
,,,,,,,
non_restoring128,592,579                                         ;,109.4,0:02:49,0,129,1
,,,,,,,
non_restoring132,628,589                                         ;,104.2,0:02:49,0,133,1
,,,,,,,
non_restoring136,646,625                                         ;,104.18,0:02:46,0,137,1
,,,,,,,
non_restoring140,667,635                                         ;,100.52,0:02:44,0,141,1
,,,,,,,
non_restoring144,687,642                                         ;,99.45,0:02:52,0,145,1
,,,,,,,
non_restoring148,704,677                                         ;,98.51,0:02:52,0,149,1
,,,,,,,
non_restoring152,727,674                                         ;,96.91,0:02:56,0,153,1
,,,,,,,
non_restoring156,743,722                                         ;,95.19,0:03:09,0,157,1
,,,,,,,
non_restoring160,759,710                                         ;,93.84,0:03:02,0,161,1
,,,,,,,
non_restoring164,765,742                                         ;,93.93,0:02:58,0,165,0
,,,,,,,
non_restoring168,778,755                                         ;,92.24,0:02:50,0,169,1
,,,,,,,
non_restoring172,794,767                                         ;,89.61,0:03:04,0,173,1
,,,,,,,
non_restoring176,810,817                                         ;,87.67,0:02:58,0,177,1
,,,,,,,
non_restoring180,826,815                                         ;,84.07,0:03:16,0,181,1
,,,,,,,
non_restoring184,844,837                                         ;,84.13,0:03:05,0,185,1
,,,,,,,
non_restoring188,858,844                                         ;,86.83,0:03:19,0,189,1
,,,,,,,
non_restoring192,874,829                                         ;,84.95,0:03:20,0,193,1
,,,,,,,
non_restoring196,897,865                                         ;,81.39,0:03:18,0,197,1
,,,,,,,
non_restoring200,916,872                                         ;,81.36,0:03:46,0,201,1
,,,,,,,
non_restoring204,928,923                                         ;,81.36,0:03:18,0,205,1
,,,,,,,
non_restoring208,946,940                                         ;,81.14,0:03:27,0,209,1
,,,,,,,
non_restoring212,961,955                                         ;,79.89,0:03:49,0,213,1
,,,,,,,
non_restoring216,980,956                                         ;,76.13,0:03:40,0,217,1
